Hello.                                                                                --- Olá.
Do you want a chocolate?                                                              --- Quer um bombom?
Now, his IQ is 75.                                                                    --- Tem um Q.I. de 75.
Mama was a real smart lady.                                                           --- A minha mãe era muito esperta.
Remember what I told you, Forrest.                                                    --- Lembra-te do que te disse, Forrest.
You're no different than anybody else is.                                             --- Não és diferente dos outros.
You are no different.                                                                 --- Não és diferente.
What are you all staring at?                                                          --- Estão a olhar para quê?
General Nathan Bedford Forrest.                                                       --- General Nathan Bedford Forrest.
I could eat about a million and a half of these.                                      --- Era capaz de comer um milhão e meio deles.
Those must be comfortable shoes.                                                      --- Esses sapatos devem ser confortáveis.
I'll bet you could walk all day in shoes like that and not feel a thing.              --- Aposto que se podem usar o dia todo sem se sentir nada.
All right, Forrest, you can open your eyes now.                                       --- Pronto, Forrest. Já podes abrir os olhos.
His legs are strong, Mrs. Gump, as strong as I've ever seen, but his back is as crooked as a politician. --- Tem as pernas fortes, Sra. Gump, fortes como nunca vi. As costas é que estão tortas que nem um político.
Mama said they'd take me anywhere.                                                    --- A minha mãe dizia que me levariam a todo o lado.
Look at me!                                                                           --- Olha para mim!
You cheated me.                                                                       --- Atraiçoaste-me!
Look at me.                                                                           --- Olha para mim.
I had a destiny.                                                                      --- Eu estava destinado.
And for some reason, he was wearing an American flag for a shirt.                     --- Por qualquer razão, vestia a bandeira americana como camisa.
There was this man giving a little talk.                                              --- Havia um homenzinho a discursar.
And every time he said the "F" word, people, for some reason, well, they'd cheer.     --- E cada vez que a dizia, todos aplaudiam, não sei porquê.
God damn, son.                                                                        --- Caramba, rapaz!
America owes you a debt of gratitude, son.                                            --- A América está-lhe grata, meu filho.
Two weeks later, I left Vietnam.                                                      --- Duas semanas depois, deixei o Vietname.
They sent him home.                                                                   --- Mandaram-no para casa.
Ma'am, what'd they do with Lieutenant Dan?                                            --- Minha senhora, que fizeram ao Tenente Dan?
You're still Lieutenant Dan.                                                          --- Ainda é o Tenente Dan.
Tell us a little bit about the war, man.                                              --- Conta-nos um pouco da guerra, meu.
It's a good thing Mama was resting, 'cause the streets was awful crowded with people looking at all the statues and monuments, and some of them people were loud and pushy. --- Ainda bem que a minha mãe não foi, pois as ruas estavam cheias de gente a olhar para as estátuas e monumentos, e as pessoas eram barulhentas e mal educadas.
Magic legs.                                                                           --- Pernas mágicas.
- Hi, Forrest.                                                                        --- - Olá, Forrest.
I love you.                                                                           --- Amo-te.
I don't know if we each have a destiny, or if we're all just floating around accidental-like on a breeze. --- Não sei se cada um de nós tem um destino ou se andamos apenas à deriva, ao sabor do vento.
My favorite book.                                                                     --- O meu livro favorito.
He's so smart, Jenny.                                                                 --- Ele é tão esperto, Jenny.
Like that mountain lake.                                                              --- Como aquele lago na montanha.
It was so clear, Jenny, it looked like there were two skies, one on top of the other. --- Era tão límpido, Jenny, como dois céus, um sobre o outro.
You died on a Saturday morning. And I had you placed here under our tree.             --- Morreste num sábado de manhã, e eu trouxe-te para debaixo da nossa árvore.
Little Forrest is doing just fine.                                                    --- O pequeno Forrest está óptimo.
Teaching him how to play Ping-Pong.                                                   --- Ando a ensiná-lo a jogar pingue-pongue.
Titanium alloy. It's what they use on the space shuttle.                              --- Liga de titânio, igual à que utilizam no vaivém espacial.
Do you, Forrest, take Jenny to be your wife?                                          --- Forrest, aceitas a Jenny para tua mulher?
Do you, Jenny, take Forrest to be your husband?                                       --- Jenny, aceitas o Forrest para teu marido?
And so I pronounce you man and wife.                                                  --- Assim vos declaro marido e mulher.
