I believe in America.                                                                 --- Acredito na América.
America has made my fortune.                                                          --- A América fez a minha fortuna.
And I raised my daughter in the American fashion.                                     --- E criei a minha filha ao estilo americano.
I gave her freedom, but I taught her never to dishonor her family.                    --- Dei-lhe liberdade, mas ensinei-a a nunca desonrar a sua família.
She found a boyfriend, not an Italian.                                                --- Ela arranjou um namorado. Não é italiano.
She went to the movies with him.                                                      --- Foi ao cinema com ele.
She stayed out late.                                                                  --- Regressou tarde.
I didn't protest.                                                                     --- Não protestei.
They made her drink whiskey and then they tried to take advantage of her.             --- Obrigaram-na beber uísque e depois tentaram aproveitar-se dela.
She resisted, she kept her honor.                                                     --- Ela resistiu... Defendeu a sua honra.
So they beat her like an animal.                                                      --- Então, bateram-lhe como a um animal.
When I went to the hospital, her nose was broken, her jaw was shattered, held together by wire. --- Quando fui ao hospital, ela tinha o nariz partido, tinha o maxilar partido, e preso por arames.
She couldn't even weep because of the pain.                                           --- Ela nem conseguia chorar por causa da dor.
But I wept.                                                                           --- Mas eu chorei.
Beautiful girl.                                                                       --- Uma rapariga linda.
Perfect.                                                                              --- É perfeito.
Mike, you go to the restaurant, you eat, talk for a while, you relax.                 --- Mike, tu vais para o restaurante, comes, falas um bocado, relaxas.
No, better still, you ask permission to go.                                           --- Não, melhor ainda, pedes licença para ir.
A police captain is on call 24 hours a day.                                           --- Um capitão da Polícia tem de lá estar 24 horas por dia.
It's perfect for us.                                                                  --- É perfeito para nós.
A small family place, good food.                                                      --- Um pequeno restaurante familiar. Boa comida.
Make them relax.                                                                      --- Fá-los relaxar.
- The gun will be there.                                                              --- - A arma estará lá.
Let's move.                                                                           --- Toca a andar.
Don't forget.                                                                         --- Não te esqueças.
Take care, Mike.                                                                      --- - Tem cuidado, Mike.
I hope we can straighten everything out.                                              --- Espero que possamos resolver tudo.
On your knees, facing me.                                                             --- De joelhos, a olhar para mim.
He's clean.                                                                           --- Ele não tem nada.
It's the best in the city.                                                            --- É a melhor da cidade.
No.                                                                                   --- Não.
I guess we both need a drink.                                                         --- Acho que ambos precisamos de uma bebida.
No, no...                                                                             --- Não, não...
Get her a doctor.                                                                     --- Chamem um médico.
Read the papers!                                                                      --- Lê os jornais!
That's your husband, that's your husband!                                             --- Foi o teu marido! Foi o teu marido!
Michael!                                                                              --- Michael!
Michael, you lousy bastard!                                                           --- Michael, seu estupor!
- Mama, please!                                                                       --- - Por favor, mãe!
There's a car waiting outside to take you to the airport.                             --- Está um carro à tua espera lá fora para te levar ao aeroporto.
Understand?                                                                           --- Percebeste?
Come on.                                                                              --- Vá lá.
- Sit down.                                                                           --- - Senta-te.
- Get out of my sight.                                                                --- - Desaparece da minha vista.
