He is coming.                                                                         --- Ele vem aí.
Cover your butt.                                                                      --- Protejam-se.
Cover the what?                                                                       --- Proteger o quê?
You've hidden the Kragle well, old man.                                               --- Escondeste bem o Kragle, velhote.
For I see everything!                                                                 --- Porque eu vejo tudo!
Now my evil power will be unlimited!                                                  --- Agora, o meu poder maléfico será ilimitado.
About the Piece of Resistance.                                                        --- Sobre a Peça da Resistência.
This MasterBuilder will thwart The Kragle and save the realm                          --- Este Mestre Construtor irá opor-se Ao Kragle e salvar o reino
Give me a break!                                                                      --- Poupa-me!
The supposed missing Piece of Resistance... that can somehow magically disarm the Kragle. --- A suposta Peça da Resistência perdida que pode desarmar magicamente o Kragle.
A Special One with face of yellow                                                     --- Um Escolhido de cara amarela
Will make the Piece of Resistance found                                               --- Irá encontrar a Peça da Resistência
Comb your hair.                                                                       --- Penteie o cabelo.
That was a great, inspiring legend... that you made up.                               --- Essa foi uma lenda fantástica e inspiradora que inventaste.
Can you feel me?                                                                      --- Sentem-no?
Good morning, wall.                                                                   --- Bom dia, parede.
To the Batmobile!                                                                     --- Para o Batmóvel!
Take the MasterBuilders prisoner.                                                     --- Prendam os Mestres Construtores.
A house divided against itself would be better... than this.                          --- Até uma câmara dividida entre si era melhor do que isto.
Protect The Special.                                                                  --- Protejam o Escolhido.
It's the Orb of Tee-ti-list!                                                          --- É a Esfera do Tee-ti-list!
You bring your space chair right back here!                                           --- Traga a sua cadeira espacial de volta para cá!
Get him out of here.                                                                  --- Tirem-no daqui.
It's a tracking device.                                                               --- É um localizador.
No, we must protect the Piece.                                                        --- Não, temos de proteger a Peça.
I be leaving this lost cause!                                                         --- Eu vou deixar esta causa perdida!
It's the bad guys.                                                                    --- São os maus da fita.
Come on, everyone!                                                                    --- Vamos, pessoal!
You're not even a bit special.                                                        --- Tu não és nem um bocadinho especial.
Run!                                                                                  --- Fujam!
Right?                                                                                --- Certo?
I have been told it might explode.                                                    --- Disseram-me que pode explodir.
Now that I'm letting you come down here and play... guess who else gets to come down here and play'? --- Agora que te deixo vires cá abaixo e brincar, adivinha quem é que também vem?
It's Taco Tuesday, your favorite.                                                     --- É a Terça dos Tacos, a vossa favorita.
And I just want you to know, from the bottom of my heart... from this moment forward... I solemnly promise that I will never... --- Quero que saibas, do fundo do meu coração, que, de hoje em diante, prometo solenemente que eu nunca...
Batman, there's something I need to say to you.                                       --- Batman, há algo que tenho de dizer-te.
I liked Emmet before it was cool.                                                     --- Eu gostava do Emmet antes de ele ser fixe.
Well, things sure have a way of working out smoothly.                                 --- Bem, as coisas acabam sempre por se resolver.
Dark, brooding... important... groundbreaking.                                        --- Sinistra, melancólica, importante, inovadora.
Super rich                                                                            --- Riquíssimo
That's just the first verse.                                                          --- É só o primeiro verso.
Continued darkness                                                                    --- Uma escuridão contínua
We're from the Planet Duplon.                                                         --- Nós somos do Planeta Duplon.
We are here to destroy you.                                                           --- Nós estamos aqui para destruir-vos.
- Yeah, we'll be up in a sec!                                                         --- -Sim, vamos já!
