You got him!                                                                          --- Apanhaste-o!
Only ever met one man I wouldn't want to fight.                                       --- Eu só conheci um homem... com quem não ia querer lutar.
I can't stop that.                                                                    --- Não consigo parar isto.
When I met him, he was already the best cut man in the business.                      --- Quando eu o conheci, ele já era o melhor "homem dos cortes" do ramo.
Can you stop it?                                                                      --- Consegues parar?
Started training and managing in the '60s, but he never lost his gift.                --- Ele começou a treinar e a ser empresário nos anos 60, mas... nunca perdeu o talento.
No.                                                                                   --- - Não.
Let me have a look at him.                                                            --- Tenho que ver como é que ele está.
He's fine. He's fine.                                                                 --- Ele está bem.
Well, he ain't if you don't stop this bleeding.                                       --- Não está, se não parar de sangrar.
I'll give you one more round.                                                         --- Eu dou-te mais um round.
Seconds out.                                                                          --- - O tempo acabou.
Let's go.                                                                             --- Vamos!
What do we do?                                                                        --- - O que é que fazemos?
Tell me what to do.                                                                   --- Diz-me o que fazer?
- I can't.                                                                            --- - Não posso.
I can't.                                                                              --- Não posso.
- Fix it.                                                                             --- - Arranja.
Inhale.                                                                               --- Inala.
- Inhale.                                                                             --- Inala.
Breathe in.                                                                           --- Inspira!
If you can stop the blood, I can beat her.                                            --- Se estancar o sangue, eu posso derrotá-la.
- Your nose is broke.                                                                 --- - O teu nariz está partido.
You got 20 seconds before this turns into a geyser and it's gonna spray all over the front row.   --- Tens 20 segundos antes que isto se torne um "geiser"... e se espalhe pela primeira fila.
What'd you learn tonight?                                                             --- O que foi que aprendeste esta noite?
It's Yeats. Keep your head back.                                                      --- É Yeats, fica com a cabeça para trás.
Two, three, four, five, six, seven, eight, nine, ten!                                 --- 6,7,8,9,10.
- Me?                                                                                 --- - Eu?
- Yeah, you.                                                                          --- - Sim, tu.
20 seconds - that's all you've got.                                                   --- 20 segundos. Só tens isso.
Frankie, I've seen you at Mass almost every day for 23 years.                         --- Frankie, eu vejo-te na missa quase todos os dias há 23 anos.
The only person comes to church that much is the kind who can't forgive himself for something.   --- O único tipo de pessoa que vem tanto à igreja... é aquela que não se perdoa por algo.
Because of you, Maggie got her shot.                                                  --- Por tua causa, a Maggie teve a sua chance.
If she dies today, you know what her last thought will be?                            --- Se ela morrer hoje, sabes qual é que vai ser o seu último pensamento?
Frankie didn't leave a note and nobody knew where he went.                            --- O Frankie não deixou nenhum recado, e ninguém sabe para onde foi.
No matter where he is I thought you should know what kind of man your father really was.   --- Não importa onde ele esteja. Só achei que devias saber... o tipo de homem que o teu pai realmente era.
Go on, put the gloves on. You missed a lot of training.                               --- Vai pôr as luvas, já perdeste muito treino.
People die every day Frankie, mopping floors washing dishes.                          --- Morre gente todos os dias, Frankie. A esfregar o chão, a lavar louça,
You got a fight I don't know about?                                                   --- Tiveste um luta que eu não estou a saber?
Forget about God... or Heaven and Hell. If you do this thing, you'll be lost... somewhere so deep... you'll never find yourself again. I think I did it already.   --- Esquece Deus ou Céu e Inferno. Se fizeres isso, estarás perdido. Nalgum lugar tão profundo... que nunca mais te vais encontrar.
You leave her with God.                                                               --- Deixa isso com Deus.
I'm gonna disconnect your air machine, then you're gonna go to sleep.                 --- Vou desligar a tua máquina. E vais dormir.
Somewhere between nowhere and goodbye.                                                --- Nalgum lugar entre Lugar Nenhum e Adeus.
But that's probably wishful thinking.                                                 --- Mas talvez seja... só um pensamento desejoso da minha parte.
Maggie walked through that door with nothing but guts.                                --- A Maggie entrou por aquela porta com nada a não ser coragem.
