Excuse me.                                                                            --- Com licença.
Come on, honey, let's get you ready for bed.                                          --- Vamos querida, vem preparar-te para dormir.
- Hello.                                                                              --- Olá...
- Read?                                                                               --- Ler?
This is Duke, he's come to read to you.                                               --- Este é o Duke... ele veio ler para você.
I don't know.                                                                         --- Eu não sei...
June 6th, 1940.                                                                       --- 6 de junho de 1940.
Allie was 17 years old.                                                               --- Allie tinha 17 anos.
Hi, what's your name?                                                                 --- Olá, como te chamas?
- Her name's Allie Hamilton.                                                          --- É a Allie Hamilton.
- Who's this girl with Sara?                                                          --- Quem é a rapariga que está com a Sara?
- Hi, honey.                                                                          --- - Olá querida!
Look, I won you a prize.                                                              --- Ganhei um prêmio para ti.
I keep trying to die, but they won't let me.                                          --- Estou a tentar morrer, mas não me deixam.
Fin!                                                                                  --- Fin!
Do I contradict myself?                                                               --- Eu contradisse-me?
Very well then, I contradict myself.                                                  --- Muito bem, então eu me contradisse.
- You okay?                                                                           --- Você está bem?
- Excuse me?                                                                          --- Desculpe?
- On a date.                                                                          --- Um encontro.
Allie was in her third year of college when she volunteered as a nurse's aid.         --- Allie, estava no terceiro ano da universidade. e trabalhava como enfermeira voluntária.
To her, the broken men with shattered bodies, who filled the ward were all Noah.      --- Para ela, os homens feridos no campo de batalha eram todos o Noah... ou alguém que lutou do lado dele na selva.
Okay, okay "Casanova," come on.                                                       --- Está bem, Casanova.
- What is he doing here?                                                              --- O que ele esta a fazer aqui?
I'm all better.                                                                       --- Eu já estou melhor.
Now, how's about that date?                                                           --- E sobre aquele encontro?
Allie, I've been thinking a lot about why we shouldn't get married.                   --- Allie, eu estive a pensar muito sobre porque não nos devemos casar.
- My parents?                                                                         --- Os meus pais?
- Your old mom and dad.                                                               --- a sua mãe e o seu pai.
Noah.                                                                                 --- Noah.
Hi.                                                                                   --- Olá.
Good night.                                                                           --- Boa noite.
I love you, Allie.                                                                    --- Eu também te amo, Allie.
I love you.                                                                           --- Eu amo-te.
Good night.                                                                           --- Boa noite.
I'll be seeing you.                                                                   --- Eu estarei a ver-te...
Do you think our love could take us away together?                                    --- Achas que o nosso amor... pode nos levar juntos?
Do you think that our love can create miracles?                                       --- Achas... que nosso amor pode fazer milagres?
I need to ask you something.                                                          --- Eu preciso perguntar uma coisa.
What is it, sweetheart?                                                               --- Que coisa é, meu amor?
I'll never leave you.                                                                 --- Eu nunca te deixarei.
I'll be here.                                                                         --- Eu estarei aqui.
What will you do?                                                                     --- O que vais fazer?
