His boots catch fire!                                                                 --- Queimam-lhe as botas!
Henslowe, do you know what happens to a man who doesn't pay his debts?                --- Henslowe, sabes o que acontece a um homem que não paga as dívidas?
Two weeks!                                                                            --- Duas semanas!
- When?                                                                               --- - Quando?
I can pay you!                                                                        --- - Posso pagar-lhe!
Where will you find... Sixteen pounds, five schillings and ninepence. Including interest, in three weeks?   --- Onde vai arranjar, dezasseis libras, cinco xelins e nove pence... incluindo juros, em três semanas?
- It's a comedy!                                                                      --- - É uma comédia!
- Cut off his nose.                                                                   --- - Cortem-lhe o nariz.
It's a new comedy by William Shakespeare.                                             --- É uma nova comédia do William Shakespeare.
- Put them back in.                                                                   --- - Ponham-nos outra vez.
Pirate king.                                                                          --- Rei pirata.
- A bit with a dog, and love triumphant.                                              --- - Entra um cão e o amor triunfa.
I didn't like it.                                                                     --- E não gostei.
Good title.                                                                           --- Bom título.
- I think I've seen it.                                                               --- - Acho que já a vi.
- Well, Will!                                                                         --- - Bem, Will!
- What is her mother?                                                                 --- - Quem é sua mãe?
Madam, your mother craves a word with you.                                            --- Senhora, sua mãe quer falar-vos.
Let it be night.                                                                      --- Que chegue a noite.
Go ask his name.                                                                      --- Vai saber seu nome.
No, do not go.                                                                        --- Não te vás.
Simply... terrible!                                                                   --- Simplesmente terrível!
If he be married, my grave is like to be my wedding bed.                              --- Se é casado, meu túmulo será meu leito de núpcias.
Oh, it is my love!                                                                    --- Oh, é o meu amor!
The brightness of her cheek would shame those stars... as daylight doth a lamp."      --- "O esplendor de seu rosto empalideceria aquelas estrelas, "como o dia apaga a lâmpada."
My name, dear saint, is hateful to myself, because it is an enemy to thee.            --- Meu nome, querida santa, odeio-o também pois é vosso inimigo.
Had I it written I would tear the word.                                               --- Se o tivesse escrito, rasgá-lo-ia.
It is mine too.                                                                       --- Também é minha.
That's my line.                                                                       --- É a minha deixa.
And her name will be Viola.                                                           --- E seu nome será Viola.
A shipwreck.                                                                          --- Um naufrágio.
Good-bye, my love.                                                                    --- Adeus, meu amor.
It's a mystery.                                                                       --- É um mistério.
I don't know.                                                                         --- Não sei.
But all ends well.                                                                    --- Mas tudo acaba bem.
Good name.                                                                            --- Bom nome.
- Orsino.                                                                             --- Orsino.
A storm.                                                                              --- Uma tempestade.
At sea, then.                                                                         --- No mar, então.
It's a beginning.                                                                     --- É um começo.
The saddest wretch in all the kingdom, sick with love?                                --- O mais triste infeliz do reino, a morrer de amor?
Sold in marriage and halfway to America.                                              --- Vendida em casamento e a caminho da América.
A comedy.                                                                             --- Uma comédia.
Too late.                                                                             --- Demasiado tarde.
