Very simple!                                                                          --- É simples!
Now... them cane ain't gonna jump up and bite you, don't shy 'bout it.                --- Agora... A cana não vai saltar e mordê-los, não tenham medo.
Alright, alright...                                                                   --- Está bem, está bem...
I want you to take your knife... lift 'em cane; make 'em sing.                        --- Quero que agarrem na catana... levantam-na, sempre a cantarem.
If only I didn't have to share your cooking with other people.                        --- Só se eu não tiver que partilhar os teus cozinhados com outras pessoas.
Darling, it's good money.                                                             --- Querido, é um bom dinheiro.
I have two gentlemen acquaintance you should make.                                    --- Tenho aqui dois cavalheiros que gostava que conhecesse.
Mr. Northup, these two gentlemen were inquiring about distinguished individuals, and I was just this very moment saying Solomon Northup; is an expert player on the violin. --- Sr. Northup, estes dois cavalheiros estão inquirindo sobre indivíduos distintos, e eu só sei dizer neste momento Solomon Northup; É um perito no violino.
The company currently in the city of Washington.                                      --- A companhia atualmente está na cidade de Washington.
Creatures from the darkest Africa as yet unseen by civilized man.                     --- Criaturas de África muito escuras jamais vistas pelo homem civilizado.
- Thank you sir... If we could persuade you to accompany us as far as Washington...   --- - Obrigado senhor... Se pudéssemos persuadi-lo em acompanhar-nos até Washington...
We would give you one dollar for each day's service' and three dollars for every night played at our performances. In addition, we would provide sufficient pay, for the expenses of your return here to Saratoga. --- Dávamos-lhe um dólar por cada dia de serviço' E três dólares por noite para tocar nas nossas apresentações. E depois poderiamos pagar-lhe melhor, para as despesas quando voltasse aqui para Saratoga.
You all fresh niggers, you'all gonna be in the cutting game.                          --- São todos novos aqui, vai tudo entrar no jogo do corte.
- I love you too, Dad.                                                                --- - Também gosto muito de ti, pai.
I wonder what you'll do without me?                                                   --- Pergunto o que farias sem mim?
Choose another ta go.                                                                 --- Escolhe outro para ir.
You will remove that black bitch from this property, 'er I'll take myself back to Cheneyville. --- Vais tirar aquela cadela preta desta propriedade, ou eu mesma a levo para Cheneyville.
Can you find your way to Bartholomew's?                                               --- Sabes o caminho para Bartholomew?
A word here or there, but I have no understanding of the written text.                --- Uma palavra aqui outra ali, Mas, não entendi nada como se escrevia.
Same as the rest, Master bought yah to work.                                          --- Como todos aqui, o Mestre comprou-te para trabalhar.
I've been sent by Master to retrieve Patsey.                                          --- Fui enviado pelo Mestre para vir buscar a Patsey.
'Cause I will rid myself of yah well before I do away with her!                       --- Porque eu vou libertá-la antes de acabar com ela!
Come on, Platt!                                                                       --- Vamos, Platt!
She pick with more vigor than any other nigger!                                       --- Ela trabalha mais que qualquer outro preto!
Back to that hog's trough where I found you?                                          --- De volta aquele buraco onde te encontrei?
This is a list of goods and sundries.                                                 --- Isto é uma lista de bens e coisas diversas.
- Who were yah Master?                                                                --- - Quem era o teu Mestre?
And any more'll earn yah a hun'red lashes.                                            --- E depois ainda ficavas com os olhos vermelhos.
Any trouble?                                                                          --- Alguma dificuldade?
Do not set yourself up against Patsey, my dear.                                       --- Não fiques contra a Patsey, minha querida.
Solomon Northup is my name.                                                           --- Solomon Northup é o meu nome.
There is nothing to forgive.                                                          --- Não há nada para perdoar.
Husband ... It is very good to meet you, sir.                                         --- Marido... É um prazer em conhecê-lo, senhor.
But I have had.. A difficult time.... these past many years                           --- Mas, eu tive... tempos difíceis.... passados estes anos.
And we have the documents also proving that it is free!                               --- E nós também temos os documentos a provar que ele é um homem livre!
You think this is the last you'll see of me, boy?                                     --- Pensas que é a ultima vez que me vais ver, rapaz?
You come here, humiliate me and make claims.                                          --- Você vem aqui, humilhar-me e revindicar.
Platt is my nigger!                                                                   --- Platt é meu!
You look me in the eye... and on your life answer me truthfully: have you any other name than Platt? --- Olhe-me nos olhos... E a sua vida dependerá disso, responda com cuidado. Tem mais algum nome sem ser Platt?
It's official business.                                                               --- Assuntos oficiais.
- And your wife's name before her marriage?                                           --- - E o nome da sua esposa antes do casamento?
Who authorized you to roam on my property?                                            --- Quem o autorizou a andar na minha propriedade?
As it will be my pleasure to bankrupt you in the courts.                              --- Será um prazer dar cabo de si nos tribunais.
- The court will take you back before sundown!                                        --- - O tribunal aceitará antes do pôr-do-sol!
This is my husband.                                                                   --- Este é o meu marido.
