I'm sorry...                                                                          --- - Desculpe...
No, Stay.                                                                             --- - Não, fica.
What's your name?                                                                     --- - Como te chamas?
What year are you?                                                                    --- - Em que ano estás?
I'm... a first year                                                                   --- - No primeiro ano.
You know who I am?                                                                    --- - Sabes quem sou eu?
Yes sir.                                                                              --- - Sim, senhor.
So you know I'm looking for players?                                                  --- E sabes que estou à procura de músicos.
Yes sir.                                                                              --- - Sim, senhor.
Then why did you stop playing?                                                        --- - Então porque paraste de tocar?
Did I ask you to start playing again?                                                 --- - Pedi para voltares a tocar?
-I asked you why did you stop playing and your version of an answer was to turn into a wind-up monkey --- Fiz uma pergunta e respondes como o macaco da bateria.
Yes sir.                                                                              --- Sim, senhor.
Double time swing.                                                                    --- Em duplo swing.
Faster!                                                                               --- Mais depressa!
Who wants dessert?                                                                    --- - Quem quer sobremesa?
And from Lincoln Center?                                                              --- - E de Lincoln Center?
Come play with us.                                                                    --- Vem jogar connosco.
Dying broke and drunk and full of heroin at the age of 34 is not exactly my idea of success. --- Morrer bêbado, drogado e falido aos 34 anos não é a minha ideia de sucesso.
I'd rather die drunk, broke at 34 and have people at a dinner table talk about me than live to be rich and sober at 90 and nobody remembered who I was. --- Prefiro morrer assim e ser o tópico de uma conversa a ficar rico e sóbrio aos 90 anos e não ser lembrado.
-No.                                                                                  --- - Não.
-Why's that?                                                                          --- - Porquê?
You got any friends Andy?                                                             --- - Tens amigos, Andy?
Does the studio get you a job?                                                        --- O estúdio contrata-te?
No.                                                                                   --- Não.
Isn't it subjective?                                                                  --- Não é subjectivo?
Travis just got MVP                                                                   --- - O Travis foi eleito o melhor jogador.
 -No, what happened?                                                                  --- - Não, o quê?
-Did you hear yet?                                                                    --- - Já sabes?
Alright, see you later.                                                               --- Vemo-nos por aí.
What about Ryan Connelly?                                                             --- E o Ryan Connelly?
Tanner?                                                                               --- O Tanner?
Guess he got discouraged.                                                             --- Acho que ficou desmotivado.
-Hello?                                                                               --- - Estou?
-Hey Nicole, it's Andrew.                                                             --- - Olá, Nicole. É o Andrew.
Been a while since... I talked to you                                                 --- Já passou um tempo desde... que falei contigo.
I don't know if I can come.                                                           --- Bem, não sei se posso ir.
I have to check with my boyfriend.                                                    --- Tenho de ver com o meu namorado.
Ok, well I guess maybe I'll see you guys there.                                       --- Então, talvez os veja por lá.
Alright gangs, listen up.                                                             --- Atenção, pessoal.
We all set?                                                                           --- Preparados?
Alright, let's have fun.                                                              --- Tudo bem. Vamos divertir.
What?                                                                                 --- O quê?
